Meal Plan,Average daily protein (g),Average daily calories,Average daily fat (g),Average daily sodium (mg),Average daily carbohydrates (g),Total weekly cost ($)
68,114.83,1670.64,72.03,1500.74,150.14,129.02
69,109.07,1654.29,54.86,2240.00,195.77,125.34
70,105.14,1649.29,84.50,2428.57,119.86,124.55
71,119.29,1629.29,45.71,2330.71,200.07,124.55
72,109.33,1623.86,79.89,2197.89,129.25,117.75
73,121.60,1616.43,62.66,1401.20,151.00,119.66
74,138.33,1611.29,55.24,1715.40,149.14,116.75
75,105.59,1601.71,70.37,1190.91,143.56,93.03
76,114.57,1600.71,55.79,2014.29,181.13,101.33
77,121.36,1596.07,41.57,1898.57,187.21,122.50
78,111.38,1587.14,60.02,2442.99,162.04,111.15
79,115.00,1575.71,72.64,2250.00,132.27,126.55
80,112.98,1561.36,40.96,2207.17,217.41,113.20
81,116.42,1550.00,70.29,1561.43,110.84,133.38
82,106.70,1545.71,81.39,2421.74,104.04,111.65
83,145.61,1540.36,47.71,2291.70,142.07,148.20
84,124.83,1510.36,54.41,1808.74,150.29,136.09
85,112.21,1509.64,70.14,2350.71,123.54,106.60
86,110.13,1487.14,70.53,1867.46,109.70,103.51
87,110.38,1475.00,63.16,1865.84,133.98,105.46
88,115.63,1471.43,68.11,2510.31,97.43,125.84
89,103.21,1470.71,52.29,2516.43,156.79,113.23
90,125.76,1448.86,47.10,2305.03,135.47,108.26
91,121.43,1432.86,50.07,2041.43,142.18,109.06
92,128.46,1414.57,32.85,2108.56,172.70,121.91
93,135.29,1410.00,54.00,2383.57,98.70,124.16
94,114.91,1409.57,53.89,2170.74,123.27,107.26
95,152.61,1405.00,34.91,2441.60,122.86,160.95
96,109.76,1392.14,51.63,2308.03,123.90,83.96
97,106.70,1353.57,28.11,1755.67,180.36,99.64
98,102.77,1297.86,43.18,1596.74,134.79,120.65
99,111.60,1157.86,42.73,1646.20,94.95,104.46
100,113.48,1121.79,20.71,616.79,118.50,126.39
