Meal Plan,Average daily protein,Average daily calories,Average daily fat,Average daily sodium,Average daily carbohydrates,Total price
98,70.41,1847.14,86.39,1928.89,210.36,99.84
99,87.68,2153.14,99.10,1602.17,233.50,117.42
100,99.14,2153.57,120.79,1822.86,185.75,96.57
101,74.83,2157.86,106.06,3279.46,246.41,97.08
102,92.26,1841.00,113.17,1635.74,112.14,92.97
103,75.70,1838.21,76.18,2306.74,235.00,82.22
104,58.49,1837.86,96.86,1802.14,211.71,98.34
105,160.76,1835.71,67.34,2148.03,150.18,157.14
106,127.17,1833.86,78.35,2425.70,163.63,126.93
107,86.05,2171.71,125.89,3373.60,177.29,144.84
108,106.13,2172.14,121.18,1971.74,189.93,107.44
109,92.49,1825.36,62.29,1782.86,236.00,111.98
110,79.29,1825.36,85.43,1315.71,210.70,91.36
111,85.96,1825.00,72.34,1530.89,208.07,92.63
112,69.99,1824.29,64.14,2027.86,265.86,84.58
113,52.36,1823.93,89.36,1538.57,237.84,86.44
114,121.86,1822.86,87.29,3789.29,143.63,126.75
115,110.43,1822.50,82.71,1958.93,168.99,98.51
116,197.57,2178.21,64.14,3972.50,221.41,150.38
117,167.71,2179.29,84.29,2164.29,207.57,159.12
118,161.07,2182.14,78.21,2909.64,230.93,161.14
119,135.85,1817.86,44.86,2731.07,239.57,140.62
120,97.56,1817.14,75.29,1762.14,215.95,73.44
121,56.28,1815.71,125.93,2617.14,132.13,105.17
122,75.10,2187.86,133.23,2706.56,199.00,108.34
123,77.18,1811.71,94.46,1663.60,175.79,118.64
124,108.46,2189.64,115.64,1561.34,194.86,128.71
125,96.93,2190.00,124.86,1629.64,173.56,103.70
126,77.05,1809.64,79.68,2463.89,205.20,106.81
127,85.49,2190.71,138.93,2267.86,148.79,102.75
128,70.88,1807.71,96.63,2366.84,181.99,100.27
129,81.27,1807.50,90.18,2551.03,179.34,103.59
130,108.75,1803.57,96.20,2772.31,128.20,124.15
131,137.50,1802.50,95.86,1505.00,99.98,125.59
132,66.55,1801.71,74.74,1596.81,220.43,97.84
133,122.07,2198.93,133.93,1952.50,131.93,114.89
134,99.97,2200.00,133.78,2102.77,153.86,135.71
135,103.69,1797.43,100.46,1575.74,132.64,109.07
136,64.43,1797.14,83.14,1237.14,220.27,74.44
137,148.65,1796.43,54.41,2476.16,220.29,137.54
138,97.85,1795.71,33.64,2074.29,281.29,103.14
139,64.79,1795.00,125.64,2519.29,112.75,130.22
140,63.52,1793.57,121.23,1187.27,121.43,95.97
141,91.05,1792.43,94.39,2462.17,155.05,114.47
142,53.06,1792.14,116.93,1182.86,163.07,85.63
143,55.81,1791.71,123.87,1881.99,123.93,104.66
144,121.73,2209.57,73.58,2336.63,278.57,110.74
145,96.92,2210.71,104.14,1783.21,234.70,107.67
146,66.14,1788.57,81.71,1258.57,214.43,94.30
147,115.43,1786.79,98.29,2251.43,132.56,116.29
148,118.43,1782.86,66.86,1419.29,186.05,119.64
149,88.64,2217.86,86.00,2626.43,296.14,83.37
150,117.47,1780.00,83.13,1460.89,144.71,123.38
151,82.73,1779.57,88.73,1395.91,176.34,103.55
152,103.41,1777.86,74.32,2141.03,179.50,105.04
153,91.05,2222.14,112.96,1778.53,213.18,94.28
154,132.69,1776.00,66.96,2447.17,175.27,116.94
155,87.45,2225.29,144.99,1779.63,170.41,117.26
156,174.55,2225.71,116.61,2523.17,145.95,130.24
157,42.83,1774.00,86.40,1795.83,220.00,102.52
158,84.71,1771.79,81.50,1887.50,185.29,92.01
159,100.69,1769.29,93.63,1714.81,129.86,106.47
160,145.77,2231.79,74.03,2191.74,277.86,120.48
161,61.92,1767.86,87.21,1454.64,202.50,80.94
162,85.35,1767.71,108.33,1753.80,117.48,109.17
163,75.48,1767.14,85.68,1491.39,191.91,92.46
164,77.99,1765.71,44.43,1749.29,278.36,102.12
165,69.43,1762.50,89.43,1791.43,188.43,101.01
166,97.19,2238.14,103.60,2705.39,255.93,135.25
167,65.84,1761.43,113.61,2083.17,120.71,123.07
168,124.29,1760.36,75.93,2397.86,155.27,143.36
169,56.54,1759.57,69.89,1865.39,243.77,83.84
170,96.36,1759.29,99.93,2047.14,137.05,108.32
171,58.33,1758.86,96.74,1215.74,184.00,98.54
172,119.41,2242.14,108.25,2760.31,212.29,124.50
173,67.00,1756.43,96.79,1661.43,175.29,97.75
174,101.67,1754.29,75.45,1586.91,191.91,95.12
175,80.97,1752.86,92.13,1479.46,163.63,97.32
176,71.92,1752.86,59.00,2320.00,238.20,82.14
177,126.92,2251.07,137.14,2387.86,138.57,152.02
178,81.17,1745.71,40.21,1106.34,280.71,88.45
179,152.21,2255.71,97.00,2508.57,208.56,135.45
180,111.83,1744.21,73.74,2440.03,175.13,139.18
181,93.29,2262.14,93.29,2711.43,299.43,91.67
182,82.33,1737.86,73.48,1873.74,219.43,97.74
183,175.13,2262.86,74.53,2725.31,233.71,163.50
184,71.71,1735.00,73.86,1860.71,218.71,117.04
185,78.55,2267.14,163.82,2938.17,141.14,102.50
186,79.71,1728.57,32.36,1852.86,298.29,86.24
187,115.11,1727.50,79.77,2283.03,152.86,108.28
188,88.05,1725.71,90.25,1323.89,150.64,119.43
189,91.56,1725.00,82.21,1745.00,172.50,136.62
190,85.12,1722.50,76.53,2342.81,183.84,101.41
191,124.88,1722.07,51.49,1869.99,204.34,117.16
192,147.21,2278.57,134.07,1924.64,129.97,139.34
193,131.00,2278.57,103.64,2487.14,237.41,145.23
194,70.53,1719.29,91.34,1880.53,151.64,93.08
195,63.71,1718.57,77.29,1460.00,214.43,82.87
196,53.42,1716.43,83.07,1228.57,196.84,76.74
197,84.47,2285.29,104.53,1867.17,276.20,102.15
198,72.27,1714.29,101.68,2053.89,136.55,129.94
199,82.64,1713.93,90.21,1627.86,150.25,85.68
200,68.33,1710.71,124.63,1670.17,87.13,89.97
201,55.49,1707.86,77.93,2101.43,214.86,116.82
202,61.46,1699.64,115.06,1373.03,103.64,89.60
203,104.47,1690.71,76.06,2037.31,159.99,97.08
204,101.47,1690.00,84.34,1798.74,153.63,83.74
205,85.02,1686.00,113.73,1465.91,92.20,98.17
206,85.61,1680.00,78.63,2252.31,178.69,87.92
207,63.00,1680.00,59.36,1725.36,237.41,96.74
208,128.21,1679.29,79.07,1832.86,114.71,141.22
209,136.29,2327.14,148.14,2832.86,114.77,117.00
210,78.83,1672.14,76.41,2605.17,173.00,123.04
211,87.54,2328.14,111.10,1851.46,259.14,96.85
212,147.41,1671.00,60.81,3431.81,142.86,144.64
213,81.47,1670.71,85.98,2146.60,160.25,92.94
214,66.91,1670.29,89.03,1371.81,154.77,81.02
215,89.45,1668.57,84.16,1641.20,151.84,104.77
216,80.50,1665.00,46.71,3308.93,264.06,99.64
217,72.41,1663.57,60.53,2119.60,230.86,86.94
218,51.90,1662.14,117.20,2089.46,124.57,93.64
219,72.29,1661.43,82.00,1872.86,173.27,97.85
220,137.71,1656.71,43.83,2577.30,203.97,140.65
221,65.04,1652.14,73.34,1951.60,182.84,71.45
222,59.81,1651.43,57.45,1697.63,257.43,84.24
223,60.71,1649.29,92.86,1750.00,144.71,78.88
224,83.47,1648.86,81.03,1494.31,157.32,95.04
225,77.33,1648.57,115.27,1727.67,83.15,71.78
226,119.26,1646.43,64.89,1738.89,146.54,121.84
227,57.13,1645.00,75.71,1382.86,185.36,93.24
228,55.53,1643.86,76.13,942.49,187.21,83.62
229,97.43,1641.43,76.71,2497.86,150.25,124.94
230,60.36,1638.21,76.64,1188.57,206.00,82.68
231,80.21,1631.79,99.43,1662.86,110.11,102.71
232,80.21,1631.43,91.79,1545.36,135.77,95.22
233,120.63,2370.71,110.93,2010.00,248.68,106.15
234,78.29,1627.86,60.57,2775.71,207.07,108.24
235,56.28,1627.86,79.43,2110.71,184.00,100.84
236,114.68,1627.43,43.53,2412.53,208.57,139.35
237,72.96,1625.71,79.84,1544.46,155.79,88.48
238,57.15,1625.64,81.48,1541.23,181.86,91.38
239,38.03,1624.57,81.13,1583.20,193.57,108.64
240,97.81,1623.43,86.84,2362.56,144.57,129.02
241,62.76,1622.86,65.39,1562.10,213.54,66.65
242,71.91,1622.43,88.03,2635.03,148.05,102.84
243,67.86,1621.43,72.43,2286.07,194.43,83.46
244,141.63,2378.93,71.36,3491.43,312.14,144.38
245,135.36,2378.93,69.43,2217.14,344.13,116.78
246,46.17,1618.86,76.63,1752.49,206.43,110.37
247,116.11,1618.21,44.70,2387.31,200.93,121.68
248,81.23,1617.43,44.66,1690.20,247.36,100.80
249,107.78,1617.14,41.71,1778.93,203.05,116.45
250,70.93,1616.79,100.50,1993.57,110.84,109.08
251,71.50,1615.36,55.79,998.57,220.14,98.08
252,54.10,1614.57,81.71,1892.49,186.27,111.64
253,151.00,2388.21,134.93,2902.86,153.54,136.35
254,96.97,1611.43,83.34,1762.31,132.36,116.45
255,87.86,1609.29,79.50,2261.79,140.21,107.92
256,100.36,1604.64,55.29,1852.14,202.86,91.59
257,111.42,1603.93,51.71,1878.21,178.47,112.39
258,109.93,1603.21,84.21,2075.71,98.13,114.59
259,100.71,2397.86,136.93,2489.29,198.91,101.70
260,58.93,1602.14,70.07,1352.86,207.64,78.03
261,62.21,1598.57,93.64,1540.71,132.43,99.35
262,118.07,1597.86,82.71,1045.00,108.48,124.32
263,66.35,1596.07,83.71,2387.86,147.54,90.98
264,54.78,1595.71,65.71,2765.71,208.14,101.74
265,53.98,1595.00,93.75,1865.31,149.56,111.25
266,80.15,1594.93,61.87,1831.63,192.98,128.31
267,79.12,1593.14,74.39,1637.17,158.77,95.22
268,57.50,1589.64,58.71,1686.43,233.29,82.88
269,104.63,2412.86,125.03,2678.17,235.56,134.17
270,149.14,2414.29,81.29,2739.29,308.14,158.34
271,77.88,1585.29,72.87,1278.06,170.64,67.34
272,107.86,1585.00,51.79,1589.29,175.20,107.74
273,62.35,2415.71,177.64,1776.43,190.07,89.42
274,39.55,1580.29,79.89,1477.53,190.57,74.55
275,138.29,1580.00,40.93,1888.57,172.13,111.64
276,77.77,1579.29,55.11,1777.46,195.20,101.32
277,52.61,1578.57,72.93,1066.34,202.79,73.44
278,72.00,1577.14,53.43,2356.79,230.41,102.74
279,58.86,1575.71,80.71,1598.57,159.71,98.74
280,54.31,1571.43,46.73,1808.34,252.63,75.24
281,109.19,1571.00,68.96,1641.10,137.50,129.02
282,106.61,1566.79,63.06,2512.31,146.93,133.46
283,93.32,1566.43,74.06,2100.89,147.29,113.35
284,107.97,1565.00,84.20,1933.74,104.93,111.15
285,151.93,2436.43,100.36,2683.93,250.77,138.20
286,63.29,1562.86,80.14,2064.29,179.86,101.64
287,72.91,1561.43,66.03,2020.31,201.54,83.16
288,105.84,1557.86,58.96,2395.31,154.56,107.64
289,52.76,1555.36,57.25,2141.74,216.49,75.98
290,101.79,2445.36,160.43,2753.57,168.11,117.27
291,46.31,1554.57,58.87,1496.63,228.36,86.04
292,89.14,1554.29,43.64,1978.57,220.79,95.44
293,58.55,1553.14,95.03,1431.46,117.43,118.38
294,89.90,1552.86,68.70,1774.46,158.17,71.64
295,65.00,1552.86,65.21,1390.36,181.20,78.62
296,79.99,1551.79,89.36,1928.93,108.00,77.02
297,83.14,1550.00,89.86,1690.00,104.13,110.27
298,206.85,2452.86,94.50,3434.29,211.41,188.57
299,58.10,1543.86,64.85,1274.99,186.64,99.17
300,73.21,1542.14,62.79,1881.43,192.49,91.82
301,110.11,1541.79,66.34,1853.03,129.34,114.89
302,129.52,2461.43,105.23,2510.49,268.29,139.67
303,101.54,1538.57,77.77,1274.10,116.70,98.28
304,38.75,1537.79,49.67,1693.24,258.21,99.88
305,60.69,1537.07,58.96,2140.74,221.86,105.89
306,115.33,1533.86,66.24,2058.60,139.43,122.25
307,49.14,1530.71,62.79,1987.14,215.13,100.42
308,46.50,1530.36,81.29,2291.43,173.91,100.98
309,68.03,1522.00,55.70,2136.49,212.55,98.33
310,128.28,2478.57,118.29,2111.07,248.93,129.58
311,129.00,1520.36,75.64,1529.64,78.99,118.49
312,60.71,1517.14,77.71,2233.57,150.20,84.47
313,63.69,1515.36,87.63,1621.60,124.14,122.08
314,84.78,1515.00,65.86,2068.21,155.22,93.24
315,78.19,1513.57,90.34,2360.89,102.00,123.24
316,66.64,1511.79,55.21,2101.43,210.91,91.56
317,82.55,1510.00,90.82,1755.31,94.84,96.24
318,75.19,1509.57,88.67,1428.60,133.41,99.85
319,61.66,1509.14,77.20,1320.77,155.43,98.14
320,85.09,1507.86,82.75,1748.91,112.63,83.74
321,58.56,1507.14,62.00,1515.00,185.98,93.70
322,109.64,1505.71,56.93,1905.71,139.47,105.84
323,76.03,1505.00,71.88,1197.63,160.43,89.74
324,118.49,2495.71,123.93,2321.79,249.41,124.14
325,47.56,1502.14,73.86,1752.14,176.54,93.54
326,61.86,1501.43,50.07,2014.29,211.77,110.84
327,49.21,1498.93,87.64,2143.57,140.36,110.46
328,84.00,2501.79,179.43,2137.14,146.93,116.92
329,79.19,1498.14,88.46,1105.03,118.11,91.04
330,101.16,1496.36,52.58,2295.20,158.25,121.08
331,79.98,1496.00,66.31,1468.60,154.33,98.35
332,116.79,1495.00,52.79,2183.21,143.21,112.54
333,47.76,1494.57,87.60,2562.89,139.86,126.54
334,103.05,1492.86,68.61,2507.81,125.70,121.44
335,56.76,1482.86,57.25,1825.31,202.64,99.67
336,156.29,1481.43,31.14,2535.36,154.50,141.72
337,103.00,1480.36,67.57,1933.21,127.04,101.49
338,49.33,1480.29,82.89,1582.89,144.86,81.76
339,93.14,1472.86,81.50,1845.00,93.83,110.00
340,73.81,1472.14,77.59,834.77,142.79,92.95
341,60.41,1470.00,29.21,1875.00,273.71,105.84
342,62.45,1465.71,53.16,1823.34,200.43,107.47
343,66.51,1462.43,46.94,1814.49,207.13,91.14
344,65.61,1462.43,57.60,1397.89,193.00,94.04
345,144.00,2540.71,116.07,2805.00,238.84,126.48
346,48.68,1459.29,45.53,1444.60,237.07,91.24
347,55.56,1457.14,46.57,1758.93,227.64,73.44
348,82.33,1456.07,33.96,2100.31,226.14,110.69
349,61.80,1455.36,72.25,1809.63,157.29,77.98
350,76.43,1455.00,73.36,2227.14,124.77,92.83
351,65.58,1453.14,62.10,1332.80,170.86,97.21
352,39.89,1452.86,75.41,1232.31,158.79,77.25
353,52.33,1451.43,82.91,1114.46,133.86,87.42
354,62.55,1450.29,83.39,2204.31,118.43,94.85
355,81.50,1449.29,71.00,1453.93,133.91,82.36
356,91.92,1447.86,42.43,2361.07,183.14,127.64
357,80.85,1443.57,52.00,2071.43,173.21,126.44
358,63.71,1441.79,44.36,1359.64,209.43,91.54
359,63.45,1441.79,52.59,1094.77,198.29,68.80
360,45.90,1437.86,56.34,1378.03,209.14,73.53
361,38.31,1437.07,83.80,1096.27,144.50,86.08
362,69.97,1432.14,79.77,1574.46,114.36,82.35
363,63.34,1430.71,62.39,2481.03,173.48,96.33
364,48.38,1430.57,48.20,1985.77,208.93,95.94
365,63.98,1430.00,46.82,2508.89,202.71,111.64
366,64.17,1427.00,74.06,910.41,139.07,91.75
367,86.91,1422.79,33.60,2183.60,220.86,109.78
368,148.04,2577.86,135.70,2565.17,201.00,127.57
369,50.43,1422.14,85.14,2475.71,122.57,119.12
370,71.71,1420.71,48.36,1742.86,177.00,86.93
371,60.11,1420.29,77.46,1706.46,125.90,82.72
372,91.54,1419.64,77.41,2209.46,98.00,134.78
373,55.83,1417.14,80.41,2866.96,133.79,93.84
374,63.55,1416.43,64.11,1416.03,149.36,89.34
375,68.03,1408.43,59.41,1767.56,167.20,79.46
376,48.80,1405.71,45.77,1394.46,198.70,78.92
377,64.37,1405.36,81.95,2149.77,105.61,97.98
378,83.74,1404.29,85.02,1807.63,79.41,86.34
379,107.90,1401.43,31.41,1725.17,182.93,108.64
380,70.21,1397.50,77.43,1343.57,120.64,101.21
381,70.86,1396.43,45.93,2439.29,191.21,128.25
382,58.64,1388.57,66.14,2087.50,159.99,82.64
383,106.91,1386.00,55.39,1707.17,118.36,110.75
384,79.63,1385.71,52.18,1981.03,168.21,105.14
385,109.99,1382.86,49.07,1565.71,125.70,124.34
386,94.63,1382.86,50.93,1256.43,147.93,105.22
387,58.78,1382.14,47.71,1991.79,190.57,88.64
388,80.52,1379.57,47.66,1345.20,176.21,96.84
389,150.79,2621.43,111.93,2114.64,271.50,138.10
390,62.29,1377.14,40.00,2217.86,209.93,92.44
391,71.61,1374.64,55.63,1837.31,159.99,87.86
392,54.05,1366.71,25.39,1997.89,245.64,91.45
393,70.14,1366.43,49.07,1596.43,174.50,114.20
394,59.90,1366.07,57.06,1944.81,168.49,85.38
395,60.17,1364.29,60.73,2413.34,158.64,89.84
396,44.55,1363.57,58.39,1510.31,178.79,101.54
397,51.34,1361.07,74.11,2173.17,147.04,91.88
398,69.66,1359.93,64.23,1485.91,130.86,104.76
399,62.85,1356.43,38.00,1970.71,213.41,74.24
400,80.57,1355.00,55.00,1640.00,140.84,84.74
401,110.84,1351.71,20.87,1733.69,208.79,117.84
402,43.85,1350.36,73.93,1660.00,142.57,95.96
403,150.43,2652.14,135.00,3486.43,206.93,143.75
404,47.32,1345.64,63.56,1045.34,168.57,78.95
405,32.08,1340.00,50.20,830.09,211.86,69.13
406,90.29,1336.07,39.14,1459.29,166.93,127.16
407,140.63,2665.36,152.75,2456.03,209.99,129.84
408,73.91,1332.86,59.11,2198.17,142.48,93.24
409,55.45,1332.71,80.63,1438.27,104.70,87.12
410,71.93,1324.29,62.93,2160.00,122.86,127.96
411,75.83,1321.43,37.77,2225.89,186.34,100.55
412,91.07,1316.71,52.98,1376.23,122.40,106.14
413,57.59,1316.36,49.38,1082.80,182.06,80.78
414,83.36,1313.57,29.71,1963.57,197.21,97.64
415,63.89,1311.07,35.07,2114.56,202.00,113.28
416,73.38,1309.93,35.37,1568.77,185.79,92.96
417,53.83,1308.93,51.34,1836.96,171.00,76.18
418,47.79,1308.21,82.71,2451.43,111.00,112.38
419,75.27,2695.71,147.86,2373.57,272.93,108.21
420,68.31,1298.86,64.64,803.14,123.20,74.44
421,77.67,1297.86,40.52,1530.79,160.63,70.44
422,81.26,1295.36,58.06,2208.39,114.74,79.06
423,60.76,1293.93,58.20,1468.03,129.07,98.47
424,62.79,1292.86,54.21,1991.79,162.50,102.84
425,94.23,1292.79,40.74,1787.09,148.93,111.39
426,43.70,1292.50,77.82,1351.39,114.43,100.38
427,62.14,1291.43,59.86,1460.36,138.43,104.42
428,50.95,1290.36,60.23,1649.77,143.29,86.38
429,44.49,1290.36,40.71,1580.71,191.50,83.98
430,59.41,1287.86,82.18,1218.53,89.71,92.94
431,53.57,1286.07,60.36,1072.14,142.57,85.08
432,34.32,1285.29,90.85,1185.34,105.79,85.34
433,63.19,1282.86,80.91,1198.03,91.91,87.15
434,39.95,1282.14,65.80,771.91,141.79,67.23
435,90.21,1281.43,71.43,1853.93,74.54,108.94
436,38.75,1280.00,62.64,1244.91,151.43,90.91
437,86.60,1271.79,40.73,1356.20,140.71,113.34
438,63.32,1270.71,52.13,1478.03,143.86,86.28
439,75.40,1270.00,67.34,2002.31,88.97,107.24
440,38.65,1269.57,38.08,1206.27,213.13,71.34
441,100.36,2732.14,180.71,2078.21,191.05,103.93
442,69.86,1262.14,55.93,794.29,126.05,91.48
443,46.17,1257.14,46.21,1683.13,172.43,69.34
444,66.28,1256.79,48.50,2292.86,142.76,85.98
445,40.70,1249.64,56.96,1803.17,162.71,99.58
446,136.43,2751.43,188.43,2735.71,127.70,130.14
447,114.82,2752.14,121.78,2404.91,326.93,118.30
448,47.48,1245.36,56.68,1339.60,142.00,88.58
449,82.64,1241.43,61.79,1350.00,119.41,83.93
450,42.63,1239.64,64.53,1475.31,138.43,97.48
451,68.26,1231.79,77.06,1324.46,78.98,101.28
452,54.94,1227.14,75.61,1264.63,92.64,99.52
453,73.83,1226.43,29.46,1254.96,173.27,96.94
454,92.36,1218.57,34.86,2071.79,135.21,114.74
455,77.47,1216.43,66.27,1289.81,78.84,87.37
456,53.87,1211.79,39.05,1275.80,175.21,75.16
457,80.04,1210.00,61.70,1301.60,105.64,83.35
458,60.04,1210.00,40.91,880.53,174.64,84.42
459,33.67,1198.57,51.23,1166.56,161.71,88.42
460,39.89,1192.86,55.64,1811.34,156.29,83.24
461,55.68,1191.36,45.53,2360.03,146.41,106.58
462,94.43,1190.71,25.43,1748.57,160.27,87.06
463,52.50,1188.57,68.29,995.71,107.48,67.83
464,60.19,1172.43,53.17,2193.60,120.75,105.94
465,37.21,1171.43,60.07,1181.79,127.00,73.80
466,70.09,1168.57,34.39,1510.23,160.61,70.94
467,50.36,1165.71,60.14,2023.93,108.57,113.64
468,57.55,1163.14,63.74,1224.67,110.83,81.94
469,119.93,2842.14,154.86,3175.71,268.98,121.05
470,53.76,1157.07,58.03,1722.53,114.07,102.59
471,31.43,1157.07,54.40,1003.01,145.36,76.66
472,43.36,1149.29,47.93,1685.71,138.14,101.02
473,52.72,1144.21,50.33,751.59,127.14,93.98
474,46.64,1143.07,44.76,2121.66,147.41,119.28
475,56.14,1137.14,72.79,1421.07,80.97,88.32
476,37.05,1136.71,55.67,1359.31,141.50,89.04
477,50.41,1133.21,40.03,1701.03,143.07,115.56
478,50.78,1133.07,34.20,967.83,177.84,79.28
479,54.13,1130.71,37.89,1368.17,160.27,79.25
480,42.19,1127.14,64.77,1926.60,99.57,92.72
481,85.30,1121.43,46.61,1449.63,104.63,75.62
482,53.44,1120.71,52.11,1327.84,113.56,59.84
483,67.55,1117.14,48.61,1105.31,119.57,96.95
484,47.17,1098.79,30.41,502.91,168.14,63.59
485,111.69,2905.71,165.71,3272.86,240.54,118.73
486,71.51,1092.86,33.25,1555.34,135.98,81.65
487,74.69,1083.93,46.91,1324.81,104.47,64.47
488,30.09,1081.71,38.71,1295.34,159.29,88.19
489,39.95,1078.93,35.45,2190.49,161.57,100.38
490,41.38,1074.57,55.37,1741.99,122.91,81.02
491,40.56,1074.14,37.05,828.19,157.29,61.40
492,65.79,1042.86,54.71,1660.00,69.98,98.52
493,109.64,2960.71,224.79,3272.86,133.90,141.78
494,45.88,1023.43,46.77,1009.34,111.07,77.95
495,72.10,1002.14,25.09,1755.84,129.00,101.94
496,45.54,998.21,35.28,2087.41,133.71,84.48
