Trend_Name,Food_Items,Start_Date,End_Date,Popularity_Score
Gluten-Free,"Grains, Seeds",2036-07-31,,6
Paleo Diet,"Meat, Fish, Nuts",2036-10-31,,2
Keto Diet,"Meat, Fish, Eggs",2037-01-31,,2
Veganism,"Vegetables, Fruits",2037-04-30,,6
Gluten-Free,"Grains, Seeds",2037-07-31,,9
Paleo Diet,"Meat, Fish, Nuts",2037-10-31,,8
Keto Diet,"Meat, Fish, Eggs",2038-01-31,,7
Veganism,"Vegetables, Fruits",2038-04-30,,4
Gluten-Free,"Grains, Seeds",2038-07-31,,2
Paleo Diet,"Meat, Fish, Nuts",2038-10-31,,7
Keto Diet,"Meat, Fish, Eggs",2039-01-31,,5
Veganism,"Vegetables, Fruits",2039-04-30,,10
Gluten-Free,"Grains, Seeds",2039-07-31,,5
Paleo Diet,"Meat, Fish, Nuts",2039-10-31,,6
Keto Diet,"Meat, Fish, Eggs",2040-01-31,,7
Veganism,"Vegetables, Fruits",2040-04-30,,4
Gluten-Free,"Grains, Seeds",2040-07-31,,1
Paleo Diet,"Meat, Fish, Nuts",2040-10-31,,2
Keto Diet,"Meat, Fish, Eggs",2041-01-31,,3
Veganism,"Vegetables, Fruits",2041-04-30,,3
Gluten-Free,"Grains, Seeds",2041-07-31,,1
Paleo Diet,"Meat, Fish, Nuts",2041-10-31,,2
Keto Diet,"Meat, Fish, Eggs",2042-01-31,,9
Veganism,"Vegetables, Fruits",2042-04-30,,5
Gluten-Free,"Grains, Seeds",2042-07-31,,9
Paleo Diet,"Meat, Fish, Nuts",2042-10-31,,7
