Meal Plan,ASIN,Quantity,Daily Servings,Category
6,B09SC4JQ1L,2,0.86,Quiche Lorraine
6,B000V79VSO,1,2.00,Honey Almond Butter
6,B074VF1FC6,1,1.00,Meatballs
6,B074H64BHH,1,1.14,Casarecce
6,B074H6M4M4,1,1.14,Almond Milk
6,B07XJZ63RB,1,0.14,Turkey
6,B07FXJMZJQ,1,1.29,Peanuts
7,B09FQRMJHH,2,0.29,Shrimp
7,B000V79VSO,1,2.00,Honey Almond Butter
7,B07FXJMZJQ,1,1.29,Peanuts
7,B07V262C64,1,0.86,Cereal Bar
7,B06XZMT4PG,1,0.14,Peanut Butter Bar
7,B000VHF5J8,1,0.14,Protein Bar
7,B088STMCYJ,1,2.14,Protein Powder
7,B074H4SK16,2,1.43,Coconut Milk
7,B07N9DBRLG,1,1.14,Cookie
7,B07XJZ63RB,1,0.14,Turkey
7,B07Q9GCMKW,1,0.43,Vegetable (Protein)
7,B006T88ZOK,1,0.71,Chicken Nuggets
8,B07GLT4Z49,1,1.43,Walnuts
8,B000VHF5J8,1,0.14,Protein Bar
8,B074H5SRLB,1,1.71,Brown Eggs
8,B074Y2PYPC,1,0.50,Corn
8,B074H737VK,1,0.50,Peach
8,B074H6M4M4,1,1.14,Almond Milk
8,B088STMCYJ,1,2.14,Protein Powder
8,B07FXJMZJQ,2,2.57,Peanuts
8,B07VKY77DR,1,1.14,Bran Cereal
8,B00CIZCSIM,1,1.71,Brown Eggs
8,B07NRC969Z,1,1.14,Cod Fillet
8,B0BBP7663X,1,0.57,Beef Burgers
8,B000RGZNIG,1,0.86,Pineapple
9,B09SC4JQ1L,1,0.43,Quiche Lorraine
9,B074H737VK,1,0.50,Peach
9,B0BBP7663X,1,0.57,Beef Burgers
9,B07XJZ63RB,1,0.14,Turkey
9,B08G9XYDNS,1,4.57,Heavy Cream
9,B074Y2PYPC,1,0.50,Corn
9,B006T88ZOK,1,0.71,Chicken Nuggets
9,B074H5M1PM,1,1.43,Egg White
9,B074VF1FC6,1,1.00,Meatballs
9,B06XZMT4PG,1,0.14,Peanut Butter Bar
9,B07GLT4Z49,1,1.43,Walnuts
9,B074H4SK16,1,0.71,Coconut Milk
9,B074H54XM2,1,0.50,Cannellini Beans
9,B088STMCYJ,1,2.14,Protein Powder
10,B07XJZ63RB,1,0.14,Turkey
10,B088STMCYJ,1,2.14,Protein Powder
10,B07VKY77DR,1,1.14,Bran Cereal
10,B074H54XM2,1,0.50,Cannellini Beans
10,B07GLT4Z49,1,1.43,Walnuts
10,B074H5Y3M8,1,0.71,Root Vegetables
10,B000V79VSO,1,2.00,Honey Almond Butter
10,B082PL63S4,3,1.07,Passion Fruit
10,B07V262C64,1,0.86,Cereal Bar
10,B09FQRMJHH,1,0.14,Shrimp
10,B074H6M4M4,1,1.14,Almond Milk
10,B074H6QSW3,1,1.57,Bran Flakes
11,B000RGZMTQ,1,0.29,Apple
11,B074H6QSW3,1,1.57,Bran Flakes
11,B07XJZ63RB,1,0.14,Turkey
11,B07GLT4Z49,1,1.43,Walnuts
11,B07FXJMZJQ,1,1.29,Peanuts
11,B09SC4JQ1L,2,0.86,Quiche Lorraine
11,B074VF1FC6,1,1.00,Meatballs
11,B07FW76LSM,1,2.57,Bread
11,B07FYYKKQK,1,0.14,Banana
11,B074H54NKR,1,0.86,Mango Slices
11,B074H7NP9Q,1,0.86,Boiled Eggs
11,B07Q9FQML9,2,0.86,Cauliflower
12,B000VHF5J8,1,0.14,Protein Bar
12,B09YS4S3VW,1,0.43,Quiche Broccoli
12,B08852TNND,1,0.43,Pea Soup
12,B07NRC969Z,2,2.29,Cod Fillet
12,B06XZMT4PG,1,0.14,Peanut Butter Bar
12,B074H64BHH,2,2.29,Casarecce
12,B07FXJMZJQ,1,1.29,Peanuts
12,B00CIZCSIM,1,1.71,Brown Eggs
12,B074H4SK16,2,1.43,Coconut Milk
12,B088STMCYJ,1,2.14,Protein Powder
12,B0884P2JXP,1,0.43,Tomato Soup
13,B09YS4S3VW,1,0.43,Quiche Broccoli
13,B07Q9GCMKW,1,0.43,Vegetable (Protein)
13,B074VF1FC6,1,1.00,Meatballs
13,B074H6M4M4,2,2.29,Almond Milk
13,B088STMCYJ,2,4.29,Protein Powder
13,B07FYYKKQK,2,0.29,Banana
13,B07GLT4Z49,1,1.43,Walnuts
13,B077RYGD4L,2,1.29,Yogurt
13,B006T88ZOK,1,0.71,Chicken Nuggets
13,B074H5Y3M8,1,0.71,Root Vegetables
14,B074VF1FC6,1,1.00,Meatballs
14,B000V79VSO,1,2.00,Honey Almond Butter
14,B074H7NP9Q,1,0.86,Boiled Eggs
14,B09FQRMJHH,1,0.14,Shrimp
14,B0779HTYC9,1,0.14,Salami
14,B074H5QQWX,1,0.29,Raspberries
14,B09FQRMJHP,2,0.29,Tso Chicken
14,B088STMCYJ,1,2.14,Protein Powder
14,B074H54NKR,1,0.86,Mango Slices
14,B000RGZNIG,1,0.86,Pineapple
14,B074H7KL3S,1,0.71,Vegetables Mixed
14,B077RYGD4L,1,0.64,Yogurt
14,B08G9XYDNS,1,4.57,Heavy Cream
15,B074H6QSW3,1,1.57,Bran Flakes
15,B000RGZNIG,1,0.86,Pineapple
15,B082PL63S4,1,0.36,Passion Fruit
15,B000V79VSO,1,2.00,Honey Almond Butter
15,B09FQRMJHH,2,0.29,Shrimp
15,B074H737VK,1,0.50,Peach
15,B08GMXG1MM,1,0.29,Pot Pie
15,B074H5LWCJ,1,0.86,Mango
15,B07VKY77DR,1,1.14,Bran Cereal
15,B0BBP7663X,1,0.57,Beef Burgers
15,B07FXJMZJQ,1,1.29,Peanuts
15,B074H5M1PM,1,1.43,Egg White
15,B07VKJ7TW9,1,1.43,Sliced Cheese
16,B082PL63S4,1,0.36,Passion Fruit
16,B074H6QSW3,1,1.57,Bran Flakes
16,B074H5Y3M8,1,0.71,Root Vegetables
16,B074H7NP9Q,3,2.57,Boiled Eggs
16,B07V262C64,1,0.86,Cereal Bar
16,B000V79VSO,1,2.00,Honey Almond Butter
16,B074H54NKR,1,0.86,Mango Slices
16,B08G9XYDNS,1,4.57,Heavy Cream
16,B074H5LWCJ,1,0.86,Mango
16,B088STMCYJ,1,2.14,Protein Powder
16,B074H5M1PM,1,1.43,Egg White
16,B07XJZ63RB,1,0.14,Turkey
17,B088STMCYJ,1,2.14,Protein Powder
17,B074H5Y3M8,1,0.71,Root Vegetables
17,B000RGZNIG,1,0.86,Pineapple
17,B09SC4JQ1L,2,0.86,Quiche Lorraine
17,B074H54NKR,1,0.86,Mango Slices
17,B006T88ZOK,1,0.71,Chicken Nuggets
17,B074H7NP9Q,1,0.86,Boiled Eggs
17,B07XQC3B64,1,0.14,Chicken
17,B00LMC502S,1,0.57,Yogurt
17,B08852TNND,1,0.43,Pea Soup
17,B09YS4S3VW,2,0.86,Quiche Broccoli
17,B074H5SRLB,1,1.71,Brown Eggs
18,B088STMCYJ,1,2.14,Protein Powder
18,B00LMC502S,1,0.57,Yogurt
18,B074H5LWCJ,1,0.86,Mango
18,B074H737VK,1,0.50,Peach
18,B07FW76LSM,2,5.14,Bread
18,B000V79VSO,1,2.00,Honey Almond Butter
18,B06XZMT4PG,1,0.14,Peanut Butter Bar
18,B0884P2JXP,1,0.43,Tomato Soup
18,B074H7KL3S,1,0.71,Vegetables Mixed
18,B000RGZMTQ,1,0.29,Apple
18,B074VCN7HW,1,0.50,Canned Pumpkin
18,B074H54NKR,2,1.71,Mango Slices
19,B07XQC3B64,1,0.14,Chicken
19,B082PL63S4,1,0.36,Passion Fruit
19,B074H6M4M4,1,1.14,Almond Milk
19,B09YS4S3VW,1,0.43,Quiche Broccoli
19,B07FW76LSM,1,2.57,Bread
19,B077RYGD4L,1,0.64,Yogurt
19,B07XJZ63RB,1,0.14,Turkey
19,B0BBP7663X,1,0.57,Beef Burgers
19,B0884P2JXP,1,0.43,Tomato Soup
19,B074H5QQWX,1,0.29,Raspberries
19,B088STMCYJ,1,2.14,Protein Powder
19,B074H64BHH,1,1.14,Casarecce
19,B07VKY77DR,1,1.14,Bran Cereal
19,B08852TNND,1,0.43,Pea Soup
20,B08852TNND,2,0.86,Pea Soup
20,B07VKY77DR,1,1.14,Bran Cereal
20,B07NRC7THL,1,0.36,Chicken Breast
20,B09FQRMJHP,1,0.14,Tso Chicken
20,B074VCN7HW,1,0.50,Canned Pumpkin
20,B000V79VSO,2,4.00,Honey Almond Butter
20,B09FQRMJHH,1,0.14,Shrimp
20,B07KMYWCPP,2,1.14,Cottage Cheese
20,B0884P2JXP,2,0.86,Tomato Soup
20,B09YS4S3VW,1,0.43,Quiche Broccoli
21,B0884P2JXP,1,0.43,Tomato Soup
21,B074H64BHH,2,2.29,Casarecce
21,B06XZMT4PG,1,0.14,Peanut Butter Bar
21,B000RGZMTQ,1,0.29,Apple
21,B08852TNND,3,1.29,Pea Soup
21,B0BBP7663X,1,0.57,Beef Burgers
21,B074VCN7HW,1,0.50,Canned Pumpkin
21,B088STMCYJ,1,2.14,Protein Powder
21,B08G9XYDNS,1,4.57,Heavy Cream
21,B074H5SRLB,1,1.71,Brown Eggs
21,B074H7KL3S,1,0.71,Vegetables Mixed
22,B07KMYWCPP,1,0.57,Cottage Cheese
22,B074H5SRLB,2,3.43,Brown Eggs
22,B07FYYKKQK,1,0.14,Banana
22,B00LMC502S,1,0.57,Yogurt
22,B074H737VK,1,0.50,Peach
22,B07NRC7THL,1,0.36,Chicken Breast
22,B07V262C64,2,1.71,Cereal Bar
22,B0BBP7663X,1,0.57,Beef Burgers
22,B088STMCYJ,1,2.14,Protein Powder
22,B07GLT4Z49,1,1.43,Walnuts
22,B074H54XM2,1,0.50,Cannellini Beans
22,B09YS4S3VW,1,0.43,Quiche Broccoli
23,B088STMCYJ,1,2.14,Protein Powder
23,B000RGZMTQ,2,0.57,Apple
23,B07NRC969Z,2,2.29,Cod Fillet
23,B07XQC3B64,1,0.14,Chicken
23,B074H6QSW3,2,3.14,Bran Flakes
23,B074H54XM2,1,0.50,Cannellini Beans
23,B074VF1FC6,1,1.00,Meatballs
23,B06XZMT4PG,2,0.29,Peanut Butter Bar
23,B000VHF5J8,1,0.14,Protein Bar
23,B09YS4S3VW,1,0.43,Quiche Broccoli
24,B074H7NP9Q,1,0.86,Boiled Eggs
24,B07VKJ7TW9,2,2.86,Sliced Cheese
24,B0779HTYC9,1,0.14,Salami
24,B09FQRMJHH,1,0.14,Shrimp
24,B077RYGD4L,1,0.64,Yogurt
24,B000V79VSO,1,2.00,Honey Almond Butter
24,B074H5Y3M8,1,0.71,Root Vegetables
24,B074H5QQWX,1,0.29,Raspberries
24,B074H54NKR,1,0.86,Mango Slices
24,B074H6QSW3,1,1.57,Bran Flakes
24,B0BBP7663X,1,0.57,Beef Burgers
24,B074Y2PYPC,1,0.50,Corn
24,B07FW76LSM,1,2.57,Bread
25,B000RGZMTQ,1,0.29,Apple
25,B07XJZ63RB,1,0.14,Turkey
25,B07FW76LSM,1,2.57,Bread
25,B077RYGD4L,1,0.64,Yogurt
25,B000RGZNIG,1,0.86,Pineapple
25,B074H5M1PM,2,2.86,Egg White
25,B000V79VSO,1,2.00,Honey Almond Butter
25,B08852TNND,1,0.43,Pea Soup
25,B0BBP7663X,1,0.57,Beef Burgers
25,B088STMCYJ,1,2.14,Protein Powder
25,B074H5LWCJ,1,0.86,Mango
25,B074H5QQWX,1,0.29,Raspberries
25,B074H737VK,1,0.50,Peach
26,B07XQC3B64,1,0.14,Chicken
26,B07GLT4Z49,1,1.43,Walnuts
26,B000RGZNIG,1,0.86,Pineapple
26,B000V79VSO,1,2.00,Honey Almond Butter
26,B074H6QSW3,1,1.57,Bran Flakes
26,B06XZMT4PG,1,0.14,Peanut Butter Bar
26,B074H4SK16,1,0.71,Coconut Milk
26,B074H5QQWX,1,0.29,Raspberries
26,B07KMYWCPP,1,0.57,Cottage Cheese
26,B074H5SRLB,1,1.71,Brown Eggs
26,B000RGZMTQ,1,0.29,Apple
26,B09FQRMJHH,1,0.14,Shrimp
26,B000VHF5J8,1,0.14,Protein Bar
26,B074H54NKR,1,0.86,Mango Slices
27,B074H5Y3M8,1,0.71,Root Vegetables
27,B07V262C64,1,0.86,Cereal Bar
27,B074H4SK16,1,0.71,Coconut Milk
27,B0BBP7663X,1,0.57,Beef Burgers
27,B00CIZCSIM,2,3.43,Brown Eggs
27,B07VKJ7TW9,1,1.43,Sliced Cheese
27,B082PL63S4,1,0.36,Passion Fruit
27,B08852TNND,1,0.43,Pea Soup
27,B07FYYKKQK,2,0.29,Banana
27,B07NRC7THL,1,0.36,Chicken Breast
27,B000V79VSO,1,2.00,Honey Almond Butter
27,B088STMCYJ,1,2.14,Protein Powder
28,B07Q9GCMKW,1,0.43,Vegetable (Protein)
28,B074H5QQWX,1,0.29,Raspberries
28,B07FXJMZJQ,2,2.57,Peanuts
28,B07GLT4Z49,1,1.43,Walnuts
28,B074H54XM2,1,0.50,Cannellini Beans
28,B06XZMT4PG,1,0.14,Peanut Butter Bar
28,B09YS4S3VW,1,0.43,Quiche Broccoli
28,B082PL63S4,1,0.36,Passion Fruit
28,B07NRC969Z,1,1.14,Cod Fillet
28,B07V262C64,1,0.86,Cereal Bar
28,B07FW76LSM,1,2.57,Bread
28,B07KMYWCPP,1,0.57,Cottage Cheese
28,B074H7KL3S,1,0.71,Vegetables Mixed
29,B0BBP7663X,1,0.57,Beef Burgers
29,B00CIZCSIM,2,3.43,Brown Eggs
29,B08G9XYDNS,1,4.57,Heavy Cream
29,B000VHF5J8,1,0.14,Protein Bar
29,B074H5QQWX,1,0.29,Raspberries
29,B006T88ZOK,1,0.71,Chicken Nuggets
29,B088STMCYJ,1,2.14,Protein Powder
29,B074H6QSW3,1,1.57,Bran Flakes
29,B074H7KL3S,1,0.71,Vegetables Mixed
29,B000RGZMTQ,2,0.57,Apple
29,B09FQRMJHH,1,0.14,Shrimp
29,B074H54XM2,1,0.50,Cannellini Beans
30,B000RGZMTQ,1,0.29,Apple
30,B074H7NP9Q,1,0.86,Boiled Eggs
30,B074H5LWCJ,1,0.86,Mango
30,B08G9XYDNS,2,9.14,Heavy Cream
30,B08GMXG1MM,1,0.29,Pot Pie
30,B07Q9GCMKW,1,0.43,Vegetable (Protein)
30,B074H737VK,1,0.50,Peach
30,B07FXJMZJQ,1,1.29,Peanuts
30,B08852TNND,1,0.43,Pea Soup
30,B07XQC3B64,1,0.14,Chicken
30,B074H5SRLB,1,1.71,Brown Eggs
30,B09SC4JQ1L,1,0.43,Quiche Lorraine
30,B07VKJ7TW9,1,1.43,Sliced Cheese
31,B08G9XYDNS,1,4.57,Heavy Cream
31,B074H7NP9Q,1,0.86,Boiled Eggs
31,B07VKJ7TW9,1,1.43,Sliced Cheese
31,B074H4SK16,1,0.71,Coconut Milk
31,B079JT8ZZF,2,3.14,Broccoli Florets
31,B074H54NKR,1,0.86,Mango Slices
31,B006T88ZOK,1,0.71,Chicken Nuggets
31,B07V262C64,1,0.86,Cereal Bar
31,B09FQRMJHP,1,0.14,Tso Chicken
31,B08GMXG1MM,1,0.29,Pot Pie
31,B074H5QQWX,1,0.29,Raspberries
31,B07GLT4Z49,1,1.43,Walnuts
31,B07N9DBRLG,1,1.14,Cookie
32,B006T88ZOK,1,0.71,Chicken Nuggets
32,B074VF1FC6,1,1.00,Meatballs
32,B08G9XYDNS,1,4.57,Heavy Cream
32,B074Y2PYPC,2,1.00,Corn
32,B074H4SK16,1,0.71,Coconut Milk
32,B074H7NP9Q,1,0.86,Boiled Eggs
32,B074H5SRLB,1,1.71,Brown Eggs
32,B000V79VSO,1,2.00,Honey Almond Butter
32,B074H5M1PM,1,1.43,Egg White
32,B07NRC7THL,1,0.36,Chicken Breast
32,B00CIZCSIM,1,1.71,Brown Eggs
32,B074H737VK,1,0.50,Peach
32,B000RGZMTQ,1,0.29,Apple
33,B074H4SK16,1,0.71,Coconut Milk
33,B00CIZCSIM,1,1.71,Brown Eggs
33,B000V79VSO,1,2.00,Honey Almond Butter
33,B074H5QQWX,1,0.29,Raspberries
33,B000RGZMTQ,1,0.29,Apple
33,B07KMYWCPP,1,0.57,Cottage Cheese
33,B074H54NKR,1,0.86,Mango Slices
33,B07FYYKKQK,1,0.14,Banana
33,B0BBP7663X,1,0.57,Beef Burgers
33,B07GLT4Z49,1,1.43,Walnuts
33,B074H737VK,1,0.50,Peach
33,B074H5LWCJ,1,0.86,Mango
33,B074H6M4M4,1,1.14,Almond Milk
33,B006T88ZOK,1,0.71,Chicken Nuggets
34,B07NRC969Z,2,2.29,Cod Fillet
34,B000VHF5J8,1,0.14,Protein Bar
34,B08GMXG1MM,1,0.29,Pot Pie
34,B000V79VSO,1,2.00,Honey Almond Butter
34,B082PL63S4,1,0.36,Passion Fruit
34,B08852TNND,1,0.43,Pea Soup
34,B074H5M1PM,2,2.86,Egg White
34,B074H6M4M4,1,1.14,Almond Milk
34,B074H54XM2,1,0.50,Cannellini Beans
34,B006T88ZOK,1,0.71,Chicken Nuggets
34,B088STMCYJ,1,2.14,Protein Powder
34,B07VKJ7TW9,1,1.43,Sliced Cheese
35,B000RGZMTQ,1,0.29,Apple
35,B07NRC7THL,1,0.36,Chicken Breast
35,B074Y2PYPC,1,0.50,Corn
35,B074H5QQWX,1,0.29,Raspberries
35,B09SC4JQ1L,3,1.29,Quiche Lorraine
35,B074H4SK16,1,0.71,Coconut Milk
35,B07XQC3B64,1,0.14,Chicken
35,B07FW76LSM,1,2.57,Bread
35,B000VHF5J8,1,0.14,Protein Bar
35,B07VKY77DR,1,1.14,Bran Cereal
35,B000RGZNIG,1,0.86,Pineapple
35,B006T88ZOK,1,0.71,Chicken Nuggets
36,B07NRC969Z,1,1.14,Cod Fillet
36,B088STMCYJ,1,2.14,Protein Powder
36,B074H5QQWX,1,0.29,Raspberries
36,B074VCN7HW,1,0.50,Canned Pumpkin
36,B074H6M4M4,3,3.43,Almond Milk
36,B08G9XYDNS,2,9.14,Heavy Cream
36,B077RYGD4L,2,1.29,Yogurt
36,B074H737VK,1,0.50,Peach
36,B074H6QSW3,1,1.57,Bran Flakes
36,B074H5LWCJ,1,0.86,Mango
37,B074H54XM2,1,0.50,Cannellini Beans
37,B006T88ZOK,1,0.71,Chicken Nuggets
37,B074H4SK16,1,0.71,Coconut Milk
37,B074H6QSW3,1,1.57,Bran Flakes
37,B074H7NP9Q,1,0.86,Boiled Eggs
37,B08G9XYDNS,1,4.57,Heavy Cream
37,B074H54NKR,1,0.86,Mango Slices
37,B000V79VSO,1,2.00,Honey Almond Butter
37,B07Q9FQML9,2,0.86,Cauliflower
37,B09FQRMJHP,1,0.14,Tso Chicken
37,B07NRC7THL,1,0.36,Chicken Breast
37,B07FYYKKQK,1,0.14,Banana
37,B07XQC3B64,1,0.14,Chicken
38,B07KMYWCPP,1,0.57,Cottage Cheese
38,B08G9XYDNS,1,4.57,Heavy Cream
38,B006T88ZOK,2,1.43,Chicken Nuggets
38,B074VCN7HW,1,0.50,Canned Pumpkin
38,B077RYGD4L,2,1.29,Yogurt
38,B000VHF5J8,1,0.14,Protein Bar
38,B08852TNND,1,0.43,Pea Soup
38,B074VF1FC6,1,1.00,Meatballs
38,B09FQRMJHH,1,0.14,Shrimp
38,B07VKJ7TW9,1,1.43,Sliced Cheese
38,B07FXJMZJQ,1,1.29,Peanuts
38,B074H737VK,1,0.50,Peach
39,B082PL63S4,1,0.36,Passion Fruit
39,B0BBP7663X,1,0.57,Beef Burgers
39,B079JT8ZZF,1,1.57,Broccoli Florets
39,B07V262C64,1,0.86,Cereal Bar
39,B074Y2PYPC,1,0.50,Corn
39,B07GLT4Z49,1,1.43,Walnuts
39,B07Q9GCMKW,1,0.43,Vegetable (Protein)
39,B088STMCYJ,1,2.14,Protein Powder
39,B07FYYKKQK,1,0.14,Banana
39,B074H7NP9Q,1,0.86,Boiled Eggs
39,B0884P2JXP,1,0.43,Tomato Soup
39,B074H737VK,1,0.50,Peach
39,B07FXJMZJQ,1,1.29,Peanuts
39,B07XJZ63RB,1,0.14,Turkey
40,B000VHF5J8,1,0.14,Protein Bar
40,B074H6QSW3,1,1.57,Bran Flakes
40,B074VCN7HW,1,0.50,Canned Pumpkin
40,B082PL63S4,1,0.36,Passion Fruit
40,B074H54XM2,1,0.50,Cannellini Beans
40,B000V79VSO,1,2.00,Honey Almond Butter
40,B07XQC3B64,1,0.14,Chicken
40,B07N9DBRLG,1,1.14,Cookie
40,B07NRC7THL,1,0.36,Chicken Breast
40,B079JT8ZZF,1,1.57,Broccoli Florets
40,B07FXJMZJQ,1,1.29,Peanuts
40,B000RGZNIG,1,0.86,Pineapple
40,B074H737VK,1,0.50,Peach
40,B08852TNND,1,0.43,Pea Soup
41,B074H54XM2,1,0.50,Cannellini Beans
41,B074H5M1PM,1,1.43,Egg White
41,B0BBP7663X,1,0.57,Beef Burgers
41,B000VHF5J8,1,0.14,Protein Bar
41,B07FW76LSM,1,2.57,Bread
41,B09FQRMJHH,1,0.14,Shrimp
41,B074H5Y3M8,1,0.71,Root Vegetables
41,B07GLT4Z49,2,2.86,Walnuts
41,B074H5QQWX,1,0.29,Raspberries
41,B074VCN7HW,1,0.50,Canned Pumpkin
41,B077RYGD4L,1,0.64,Yogurt
41,B074H7NP9Q,1,0.86,Boiled Eggs
41,B006T88ZOK,1,0.71,Chicken Nuggets
42,B000VHF5J8,2,0.29,Protein Bar
42,B00CIZCSIM,2,3.43,Brown Eggs
42,B074H6QSW3,2,3.14,Bran Flakes
42,B0884P2JXP,1,0.43,Tomato Soup
42,B074H5SRLB,2,3.43,Brown Eggs
42,B082PL63S4,2,0.71,Passion Fruit
42,B079JT8ZZF,1,1.57,Broccoli Florets
42,B07VKJ7TW9,1,1.43,Sliced Cheese
42,B07GLT4Z49,1,1.43,Walnuts
43,B077RYGD4L,1,0.64,Yogurt
43,B074H7NP9Q,1,0.86,Boiled Eggs
43,B09SC4JQ1L,2,0.86,Quiche Lorraine
43,B074VCN7HW,1,0.50,Canned Pumpkin
43,B074H6M4M4,1,1.14,Almond Milk
43,B000VHF5J8,1,0.14,Protein Bar
43,B07FW76LSM,1,2.57,Bread
43,B00CIZCSIM,1,1.71,Brown Eggs
43,B0BBP7663X,1,0.57,Beef Burgers
43,B07NRC7THL,1,0.36,Chicken Breast
43,B07VKY77DR,1,1.14,Bran Cereal
43,B07Q9GCMKW,1,0.43,Vegetable (Protein)
43,B00LMC502S,1,0.57,Yogurt
44,B07XQC3B64,1,0.14,Chicken
44,B07FYYKKQK,1,0.14,Banana
44,B07NRC7THL,2,0.71,Chicken Breast
44,B08G9XYDNS,1,4.57,Heavy Cream
44,B082PL63S4,1,0.36,Passion Fruit
44,B079JT8ZZF,1,1.57,Broccoli Florets
44,B000V79VSO,1,2.00,Honey Almond Butter
44,B074H64BHH,1,1.14,Casarecce
44,B07FW76LSM,1,2.57,Bread
44,B074VCN7HW,1,0.50,Canned Pumpkin
44,B08852TNND,1,0.43,Pea Soup
44,B074H6M4M4,1,1.14,Almond Milk
44,B074Y2PYPC,1,0.50,Corn
45,B08G9XYDNS,2,9.14,Heavy Cream
45,B077RYGD4L,1,0.64,Yogurt
45,B074H5SRLB,1,1.71,Brown Eggs
45,B000RGZMTQ,2,0.57,Apple
45,B0779HTYC9,2,0.29,Salami
45,B074H5Y3M8,1,0.71,Root Vegetables
45,B07VKY77DR,1,1.14,Bran Cereal
45,B074VF1FC6,1,1.00,Meatballs
45,B07XQC3B64,1,0.14,Chicken
45,B074H4SK16,1,0.71,Coconut Milk
45,B07FYYKKQK,1,0.14,Banana
46,B074H6M4M4,1,1.14,Almond Milk
46,B074Y2PYPC,1,0.50,Corn
46,B074H54XM2,1,0.50,Cannellini Beans
46,B000V79VSO,1,2.00,Honey Almond Butter
46,B074VCN7HW,1,0.50,Canned Pumpkin
46,B08852TNND,1,0.43,Pea Soup
46,B074H5LWCJ,1,0.86,Mango
46,B074H5SRLB,1,1.71,Brown Eggs
46,B00CIZCSIM,1,1.71,Brown Eggs
46,B082PL63S4,1,0.36,Passion Fruit
46,B09SC4JQ1L,2,0.86,Quiche Lorraine
46,B07XJZ63RB,1,0.14,Turkey
46,B074H7KL3S,1,0.71,Vegetables Mixed
47,B08852TNND,1,0.43,Pea Soup
47,B07NRC969Z,1,1.14,Cod Fillet
47,B09YS4S3VW,1,0.43,Quiche Broccoli
47,B074H5M1PM,1,1.43,Egg White
47,B07VKJ7TW9,2,2.86,Sliced Cheese
47,B09FQRMJHP,1,0.14,Tso Chicken
47,B082PL63S4,1,0.36,Passion Fruit
47,B074VF1FC6,1,1.00,Meatballs
47,B074H6M4M4,1,1.14,Almond Milk
