Meal Plan,Rating,Review_Text,Taste_Rating,Portion_Rating
13,2,Disappointed with meal plan 13. Bad taste and small portions.,1,1
13,1,Disappointed with meal plan 13. Bad taste and small portions.,1,2
13,1,Disappointed with meal plan 13. Bad taste and small portions.,2,2
13,2,Disappointed with meal plan 13. Bad taste and small portions.,1,1
13,2,Disappointed with meal plan 13. Bad taste and small portions.,2,1
13,1,Disappointed with meal plan 13. Bad taste and small portions.,2,2
14,2,Disappointed with meal plan 14. Bad taste and small portions.,2,2
14,2,Disappointed with meal plan 14. Bad taste and small portions.,1,1
14,1,Disappointed with meal plan 14. Bad taste and small portions.,2,1
14,1,Disappointed with meal plan 14. Bad taste and small portions.,1,2
14,1,Disappointed with meal plan 14. Bad taste and small portions.,1,2
14,1,Disappointed with meal plan 14. Bad taste and small portions.,2,1
14,2,Disappointed with meal plan 14. Bad taste and small portions.,1,1
